judul,pengarang,klasifikasi,status,genre_utama,subgenre,genre,content
Ayo Berhijab! : Berhijab Tanda Taat tanpa Pengecualian,Muhammad Nashiruddin Al-Albani,297.119 5,Penyiangan 2025-2,agama,umum,agama umum,ayo berhijab  berhijab tanda taat tanpa pengecualian muhammad nashiruddin alalbani agama umum
Islam yang Kulihat,Fajar Istiqlal,Fik,Penyiangan 2025-2,umum,umum,umum umum,islam yang kulihat fajar istiqlal umum umum
Panduan Lengkap Pintar Doa untuk Anak Muslim,Hanafi,297.541,Penyiangan 2025-2,agama,anak,agama anak,panduan lengkap pintar doa untuk anak muslim hanafi agama anak
3ple M : Rahasia Lavender,Maria Ifardi,Fik,Penyiangan 2025-2,umum,umum,umum umum,ple m  rahasia lavender maria ifardi umum umum
Twitter yang Trendy dan Modern,Chibita Wiranegara,004.6,Penyiangan 2025-2,umum,umum,umum umum,twitter yang trendy dan modern chibita wiranegara umum umum
Pacaran Ogah Nikah Ayo!,Eidelweis Almira,Fik,Penyiangan 2025-2,umum,umum,umum umum,pacaran ogah nikah ayo eidelweis almira umum umum
9 in One Kado Kelahiran Terindah,Budiman Mustofa,297.437,Penyiangan 2025-2,agama,umum,agama umum, in one kado kelahiran terindah budiman mustofa agama umum
Hantu,@urbanlejen,Fik,Penyiangan 2025-2,umum,umum,umum umum,hantu urbanlejen umum umum
Jurus Sukses Bertanam stroberi,Anton Prayogo,634.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,jurus sukses bertanam stroberi anton prayogo teknologi umum
Pandai Shalat untuk Anak Muslim,Hanafi,297.412,Penyiangan 2025-2,agama,anak,agama anak,pandai shalat untuk anak muslim hanafi agama anak
Ayo Berhijab! : Berhijab Tanda Taat tanpa Pengecualian,Muhammad Nashiruddin Al-Albani,297.119 5,Penyiangan 2025-2,agama,umum,agama umum,ayo berhijab  berhijab tanda taat tanpa pengecualian muhammad nashiruddin alalbani agama umum
Islam yang Kulihat,Fajar Istiqlal,Fik,Penyiangan 2025-2,umum,umum,umum umum,islam yang kulihat fajar istiqlal umum umum
Panduan Lengkap Pintar Doa untuk Anak Muslim,Hanafi,297.541,Penyiangan 2025-2,agama,anak,agama anak,panduan lengkap pintar doa untuk anak muslim hanafi agama anak
3ple M : Rahasia Lavender,Maria Ifardi,Fik,Penyiangan 2025-2,umum,umum,umum umum,ple m  rahasia lavender maria ifardi umum umum
Twitter yang Trendy dan Modern,Chibita Wiranegara,004.6,Penyiangan 2025-2,umum,umum,umum umum,twitter yang trendy dan modern chibita wiranegara umum umum
Pacaran Ogah Nikah Ayo!,Eidelweis Almira,Fik,Penyiangan 2025-2,umum,umum,umum umum,pacaran ogah nikah ayo eidelweis almira umum umum
9 in One Kado Kelahiran Terindah,Budiman Mustofa,297.437,Penyiangan 2025-2,agama,umum,agama umum, in one kado kelahiran terindah budiman mustofa agama umum
Jurus Sukses Bertanam stroberi,Anton Prayogo,634.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,jurus sukses bertanam stroberi anton prayogo teknologi umum
Panji Wirapati : Tumpas Pamungkas,Nugroho Widjajanto,Fik,Penyiangan 2025-2,umum,umum,umum umum,panji wirapati  tumpas pamungkas nugroho widjajanto umum umum
Pandai Shalat untuk Anak Muslim,Hanafi,297.412,Penyiangan 2025-2,agama,anak,agama anak,pandai shalat untuk anak muslim hanafi agama anak
Ayo Berhijab! : Berhijab Tanda Taat tanpa Pengecualian,Muhammad Nashiruddin Al-Albani,297.119 5,Penyiangan 2025-2,agama,umum,agama umum,ayo berhijab  berhijab tanda taat tanpa pengecualian muhammad nashiruddin alalbani agama umum
Islam yang Kulihat,Fajar Istiqlal,Fik,Penyiangan 2025-2,umum,umum,umum umum,islam yang kulihat fajar istiqlal umum umum
Panduan Lengkap Pintar Doa untuk Anak Muslim,Hanafi,297.541,Penyiangan 2025-2,agama,anak,agama anak,panduan lengkap pintar doa untuk anak muslim hanafi agama anak
3ple M : Rahasia Lavender,Maria Ifardi,Fik,Penyiangan 2025-2,umum,umum,umum umum,ple m  rahasia lavender maria ifardi umum umum
Twitter yang Trendy dan Modern,Chibita Wiranegara,004.6,Penyiangan 2025-2,umum,umum,umum umum,twitter yang trendy dan modern chibita wiranegara umum umum
Pacaran Ogah Nikah Ayo!,Eidelweis Almira,Fik,Penyiangan 2025-2,umum,umum,umum umum,pacaran ogah nikah ayo eidelweis almira umum umum
9 in One Kado Kelahiran Terindah,Budiman Mustofa,297.437,Penyiangan 2025-2,agama,umum,agama umum, in one kado kelahiran terindah budiman mustofa agama umum
Secret From Ahmad Dahlan,Syaiful Bahri,FIK,Penyiangan 2025-2,umum,umum,umum umum,secret from ahmad dahlan syaiful bahri umum umum
Murjangkung: Cinta yang Dungu dan Hantu-Hantu,Laksana,FIK,Penyiangan 2025-2,umum,umum,umum umum,murjangkung cinta yang dungu dan hantuhantu laksana umum umum
Membangun Pendidikan Islami Di Rumah,Herlina Hasan Khalida,297.51,Penyiangan 2025-2,agama,umum,agama umum,membangun pendidikan islami di rumah herlina hasan khalida agama umum
"Undang Saja Allah Belajar Syukur, Belajar Yakin",Yusuf Mansur,297.98,Penyiangan 2025-2,agama,umum,agama umum,undang saja allah belajar syukur belajar yakin yusuf mansur agama umum
Cara Pintar Mengatasi Kebosanan Sex,Fafa,155.3,Penyiangan 2025-2,umum,umum,umum umum,cara pintar mengatasi kebosanan sex fafa umum umum
9 Jurus Phk dan Pensiun Kaya Raya,Satmoko Budi Santoso,338.04,Penyiangan 2025-2,sosial politik,umum,sosial politik umum, jurus phk dan pensiun kaya raya satmoko budi santoso sosial politik umum
Sikat Habis Penyakit Dengan Ramuan Tradisional & Pijat Refleksi,Ellys Puspita,581.6,Penyiangan 2025-2,sains,umum,sains umum,sikat habis penyakit dengan ramuan tradisional  pijat refleksi ellys puspita sains umum
Party Fun & Games 200 Permainan Untuk Pesta Anak,Ardhaniswara Saskia Puteri,793.2,Penyiangan 2025-2,umum,umum,umum umum,party fun  games  permainan untuk pesta anak ardhaniswara saskia puteri umum umum
"Triangle Of Love: Allah, Aku, & Kamu",@Sobat_loversh,297.51,Penyiangan 2025-2,agama,umum,agama umum,triangle of love allah aku  kamu sobatloversh agama umum
Math Puzzle For Travelling,Utami Widijati,793.7,Penyiangan 2025-2,umum,umum,umum umum,math puzzle for travelling utami widijati umum umum
Tafsir Mimpi Muhammad Ibnu Sirin Dan Ja'far as-Shadiq,Ahmad Ibn Asymuni al-Jaruni,297.37,Penyiangan 2025-2,agama,umum,agama umum,tafsir mimpi muhammad ibnu sirin dan jafar asshadiq ahmad ibn asymuni aljaruni agama umum
Agar Si Kecil Mau Makan,Ida Rusdiyanti,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,agar si kecil mau makan ida rusdiyanti teknologi umum
Laa Tabkii: Jangan Menangis,Abdul Hakim El Hamidy,297.51,Penyiangan 2025-2,agama,umum,agama umum,laa tabkii jangan menangis abdul hakim el hamidy agama umum
Secret From Ahmad Dahlan,Syaiful Bahri,FIK,Penyiangan 2025-2,umum,umum,umum umum,secret from ahmad dahlan syaiful bahri umum umum
Murjangkung: Cinta yang Dungu dan Hantu-Hantu,Laksana,FIK,Penyiangan 2025-2,umum,umum,umum umum,murjangkung cinta yang dungu dan hantuhantu laksana umum umum
Membangun Pendidikan Islami Di Rumah,Herlina Hasan Khalida,297.51,Penyiangan 2025-2,agama,umum,agama umum,membangun pendidikan islami di rumah herlina hasan khalida agama umum
"Undang Saja Allah Belajar Syukur, Belajar Yakin",Yusuf Mansur,297.98,Penyiangan 2025-2,agama,umum,agama umum,undang saja allah belajar syukur belajar yakin yusuf mansur agama umum
Cara Pintar Mengatasi Kebosanan Sex,Fafa,155.3,Penyiangan 2025-2,umum,umum,umum umum,cara pintar mengatasi kebosanan sex fafa umum umum
9 Jurus Phk dan Pensiun Kaya Raya,Satmoko Budi Santoso,338.04,Penyiangan 2025-2,sosial politik,umum,sosial politik umum, jurus phk dan pensiun kaya raya satmoko budi santoso sosial politik umum
Sikat Habis Penyakit Dengan Ramuan Tradisional & Pijat Refleksi,Ellys Puspita,581.6,Penyiangan 2025-2,sains,umum,sains umum,sikat habis penyakit dengan ramuan tradisional  pijat refleksi ellys puspita sains umum
Party Fun & Games 200 Permainan Untuk Pesta Anak,Ardhaniswara Saskia Puteri,793.2,Penyiangan 2025-2,umum,umum,umum umum,party fun  games  permainan untuk pesta anak ardhaniswara saskia puteri umum umum
"Triangle Of Love: Allah, Aku, & Kamu",@Sobat_loversh,297.51,Penyiangan 2025-2,agama,umum,agama umum,triangle of love allah aku  kamu sobatloversh agama umum
Math Puzzle For Travelling,Utami Widijati,793.7,Penyiangan 2025-2,umum,umum,umum umum,math puzzle for travelling utami widijati umum umum
Tafsir Mimpi Muhammad Ibnu Sirin Dan Ja'far as-Shadiq,Ahmad Ibn Asymuni al-Jaruni,297.37,Penyiangan 2025-2,agama,umum,agama umum,tafsir mimpi muhammad ibnu sirin dan jafar asshadiq ahmad ibn asymuni aljaruni agama umum
Agar Si Kecil Mau Makan,Ida Rusdiyanti,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,agar si kecil mau makan ida rusdiyanti teknologi umum
Laa Tabkii: Jangan Menangis,Abdul Hakim El Hamidy,297.51,Penyiangan 2025-2,agama,umum,agama umum,laa tabkii jangan menangis abdul hakim el hamidy agama umum
Buku Pintar Sains Dalam Al-quran: Mengerti Mukjizat Ilmiah Firman Allah,Nadiah Thayyarah,297.16,Penyiangan 2025-2,agama,umum,agama umum,buku pintar sains dalam alquran mengerti mukjizat ilmiah firman allah nadiah thayyarah agama umum
Secret From Ahmad Dahlan,Syaiful Bahri,FIK,Penyiangan 2025-2,umum,umum,umum umum,secret from ahmad dahlan syaiful bahri umum umum
Membangun Pendidikan Islami Di Rumah,Herlina Hasan Khalida,297.51,Penyiangan 2025-2,agama,umum,agama umum,membangun pendidikan islami di rumah herlina hasan khalida agama umum
Cinta Bertahta,Abdul Latif,FIK,Penyiangan 2025-2,umum,umum,umum umum,cinta bertahta abdul latif umum umum
"Undang Saja Allah Belajar Syukur, Belajar Yakin",Yusuf Mansur,297.98,Penyiangan 2025-2,agama,umum,agama umum,undang saja allah belajar syukur belajar yakin yusuf mansur agama umum
Retorika: Seni Bicara Untuk Semua,Yuni Sulanjari,808,Penyiangan 2025-2,sastra,umum,sastra umum,retorika seni bicara untuk semua yuni sulanjari sastra umum
9 Jurus Phk dan Pensiun Kaya Raya,Satmoko Budi Santoso,338.04,Penyiangan 2025-2,sosial politik,umum,sosial politik umum, jurus phk dan pensiun kaya raya satmoko budi santoso sosial politik umum
Sikat Habis Penyakit Dengan Ramuan Tradisional & Pijat Refleksi,Ellys Puspita,581.6,Penyiangan 2025-2,sains,umum,sains umum,sikat habis penyakit dengan ramuan tradisional  pijat refleksi ellys puspita sains umum
Party Fun & Games 200 Permainan Untuk Pesta Anak,Ardhaniswara Saskia Puteri,793.2,Penyiangan 2025-2,umum,umum,umum umum,party fun  games  permainan untuk pesta anak ardhaniswara saskia puteri umum umum
Math Puzzle For Travelling,Utami Widijati,793.7,Penyiangan 2025-2,umum,umum,umum umum,math puzzle for travelling utami widijati umum umum
Tafsir Mimpi Muhammad Ibnu Sirin Dan Ja'far as-Shadiq,Ahmad Ibn Asymuni al-Jaruni,297.37,Penyiangan 2025-2,agama,umum,agama umum,tafsir mimpi muhammad ibnu sirin dan jafar asshadiq ahmad ibn asymuni aljaruni agama umum
"Yakin, Anda Juga Bisa !",Aelasufa Mannan,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,yakin anda juga bisa  aelasufa mannan sejarah umum
Agar Si Kecil Mau Makan,Ida Rusdiyanti,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,agar si kecil mau makan ida rusdiyanti teknologi umum
Cara Praktis Bermain Keyboard Dengan Teknik Piano,Yanny Lesar,786.5,Penyiangan 2025-2,umum,umum,umum umum,cara praktis bermain keyboard dengan teknik piano yanny lesar umum umum
Buku Pintar Sains Dalam Al-quran: Mengerti Mukjizat Ilmiah Firman Allah,Nadiah Thayyarah,297.16,Penyiangan 2025-2,agama,umum,agama umum,buku pintar sains dalam alquran mengerti mukjizat ilmiah firman allah nadiah thayyarah agama umum
Secret From Ahmad Dahlan,Syaiful Bahri,FIK,Penyiangan 2025-2,umum,umum,umum umum,secret from ahmad dahlan syaiful bahri umum umum
Membangun Pendidikan Islami Di Rumah,Herlina Hasan Khalida,297.51,Penyiangan 2025-2,agama,umum,agama umum,membangun pendidikan islami di rumah herlina hasan khalida agama umum
Cinta Bertahta,Abdul Latif,FIK,Penyiangan 2025-2,umum,umum,umum umum,cinta bertahta abdul latif umum umum
"Undang Saja Allah Belajar Syukur, Belajar Yakin",Yusuf Mansur,297.98,Penyiangan 2025-2,agama,umum,agama umum,undang saja allah belajar syukur belajar yakin yusuf mansur agama umum
Retorika: Seni Bicara Untuk Semua,Yuni Sulanjari,808,Penyiangan 2025-2,sastra,umum,sastra umum,retorika seni bicara untuk semua yuni sulanjari sastra umum
9 Jurus Phk dan Pensiun Kaya Raya,Satmoko Budi Santoso,338.04,Penyiangan 2025-2,sosial politik,umum,sosial politik umum, jurus phk dan pensiun kaya raya satmoko budi santoso sosial politik umum
Sikat Habis Penyakit Dengan Ramuan Tradisional & Pijat Refleksi,Ellys Puspita,581.6,Penyiangan 2025-2,sains,umum,sains umum,sikat habis penyakit dengan ramuan tradisional  pijat refleksi ellys puspita sains umum
